tender_id,lot_number,bid_number,bid_iswinning,tender_country,tender_awarddecisiondate,tender_contractsignaturedate,tender_biddeadline,tender_proceduretype,tender_supplytype,tender_publications_notice_type,tender_publications_firstcallfor,notice_url,source,tender_publications_award_type,tender_publications_firstdcontra,tender_publications_lastcontract,buyer_masterid,buyer_id,buyer_city,buyer_postcode,buyer_country,buyer_geocodes,buyer_name,buyer_buyertype,buyer_mainactivities,tender_addressofimplementation_c,tender_addressofimplementation_n,bidder_masterid,bidder_id,bidder_country,bidder_geocodes,bidder_name,bid_priceUsd,bid_price,bid_pricecurrency,bidder_previousSanction,bidder_hasSanction,sanct_startdate,sanct_enddate,sanct_name,lot_productCode,lot_localProductCode_type,lot_localProductCode,title,bids_count,tender_estimatedpriceUsd,tender_estimatedprice,ten_est_pricecurrency,ind_nocft_val,ind_nocft_type,ind_singleb_val,ind_singleb_type,ind_taxhav2_val,ind_taxhav2_type,ind_corr_decp_val,ind_corr_decp_type,ind_corr_proc_val,ind_corr_proc_type,ind_corr_submp_val,ind_corr_submp_type,ind_corr_ben_val,ind_corr_ben_type,ind_csh_type,ind_tr_buyer_name_val,ind_tr_buyer_name_type,ind_tr_title_val,ind_tr_tender_title_type,ind_tr_bidder_name_val,ind_tr_bidder_name_type,ind_tr_tender_supplytype_val,ind_tr_tender_supplytype_type,ind_tr_bid_price_val,ind_tr_bid_price_type,ind_tr_impl_val,ind_tr_impl_type,ind_tr_proc_val,ind_tr_proc_type,ind_tr_bids_val,ind_tr_bids_type,ind_tr_aw_date2_val,ind_tr_aw_date2_type
00000138-2490-4330-a3fd-f79b037c7dbd,1,1,true,MT,,,,OPEN,SUPPLIES,,,,http://ted.europa.eu,CONTRACT_AWARD,2014-01-07,http://ted.europa.eu/udl?uri=TED:NOTICE:003722-2014:TEXT:EN:HTML,3b6fae82-0ed6-4cbd-9e52-d88ad134d945,MT25645419,Floriana,FRN 1600,MT,"[""MT001""]",Department of Contracts,NATIONAL_AUTHORITY,"[""OTHER""]",,"[""""]",958876a8-7ac6-460c-9492-dae560ed19f1,C10268,MT,"[""""]",V.J. Salomone Pharma Limited,32439.309,23920,EUR,false,false,,,,"33622400,",CPV2008,"33622400,",Tender for the supply of fluvastatin tablets or capsules.,2,,,EUR,0,INTEGRITY_CALL_FOR_TENDER_PUBLICATION,100,INTEGRITY_SINGLE_BID,,INTEGRITY_TAX_HAVEN,,INTEGRITY_DECISION_PERIOD,100,INTEGRITY_PROCEDURE_TYPE,,INTEGRITY_ADVERTISEMENT_PERIOD,,INTEGRITY_BENFORD,INTEGRITY_WINNER_SHARE,100,TRANSPARENCY_BUYER_NAME_MISSING,100,TRANSPARENCY_TITLE_MISSING,100,TRANSPARENCY_BIDDER_NAME_MISSING,100,TRANSPARENCY_SUPPLY_TYPE_MISSING,100,TRANSPARENCY_VALUE_MISSING,0,TRANSPARENCY_IMP_LOC_MISSING,100,TRANSPARENCY_PROC_METHOD_MISSING,100,TRANSPARENCY_BID_NR_MISSING,100,TRANSPARENCY_AWARD_DATE_MISSING
00000138-2490-4330-a3fd-f79b037c7dbd,2,1,true,MT,,,,OPEN,SUPPLIES,,,,http://ted.europa.eu,CONTRACT_AWARD,2014-01-07,http://ted.europa.eu/udl?uri=TED:NOTICE:003722-2014:TEXT:EN:HTML,3b6fae82-0ed6-4cbd-9e52-d88ad134d945,MT25645419,Floriana,FRN 1600,MT,"[""MT001""]",Department of Contracts,NATIONAL_AUTHORITY,"[""OTHER""]",,"[""""]",958876a8-7ac6-460c-9492-dae560ed19f1,C10268,MT,"[""""]",V.J. Salomone Pharma Limited,196642.97,145000,EUR,false,false,,,,"33622400,",CPV2008,"33622400,",Tender for the supply of fluvastatin tablets or capsules.,2,,,EUR,0,INTEGRITY_CALL_FOR_TENDER_PUBLICATION,100,INTEGRITY_SINGLE_BID,,INTEGRITY_TAX_HAVEN,,INTEGRITY_DECISION_PERIOD,100,INTEGRITY_PROCEDURE_TYPE,,INTEGRITY_ADVERTISEMENT_PERIOD,,INTEGRITY_BENFORD,INTEGRITY_WINNER_SHARE,100,TRANSPARENCY_BUYER_NAME_MISSING,100,TRANSPARENCY_TITLE_MISSING,100,TRANSPARENCY_BIDDER_NAME_MISSING,100,TRANSPARENCY_SUPPLY_TYPE_MISSING,100,TRANSPARENCY_VALUE_MISSING,0,TRANSPARENCY_IMP_LOC_MISSING,100,TRANSPARENCY_PROC_METHOD_MISSING,100,TRANSPARENCY_BID_NR_MISSING,100,TRANSPARENCY_AWARD_DATE_MISSING
0023c86c-774a-4dec-9f4e-1ede244fab10,1,1,true,MT,2017-06-13,,2017-04-11,OPEN,SERVICES,CONTRACT_NOTICE,2017-03-11,http://ted.europa.eu/udl?uri=TED:NOTICE:091971-2017:TEXT:EN:HTML,http://ted.europa.eu,CONTRACT_AWARD,2017-06-14,http://ted.europa.eu/udl?uri=TED:NOTICE:225956-2017:TEXT:EN:HTML,72098223-4457-4014-b4e1-b197ff276810,,Sliema,SLM 2037,MT,"[""MT000""]",Sliema Local Council,REGIONAL_AUTHORITY,"[""OTHER""]",MT,"[""MT000""]",ee1db890-b692-447e-8fb5-94f45e1589ce,,MT,"[""MT000""]",SRF and Veladrians,767955.63,534792,EUR,false,false,,,,"90612000,",CPV2008,"90612000,",Contract,5,,,EUR,100,INTEGRITY_CALL_FOR_TENDER_PUBLICATION,100,INTEGRITY_SINGLE_BID,,INTEGRITY_TAX_HAVEN,0,INTEGRITY_DECISION_PERIOD,100,INTEGRITY_PROCEDURE_TYPE,0,INTEGRITY_ADVERTISEMENT_PERIOD,,INTEGRITY_BENFORD,INTEGRITY_WINNER_SHARE,100,TRANSPARENCY_BUYER_NAME_MISSING,100,TRANSPARENCY_TITLE_MISSING,100,TRANSPARENCY_BIDDER_NAME_MISSING,100,TRANSPARENCY_SUPPLY_TYPE_MISSING,100,TRANSPARENCY_VALUE_MISSING,100,TRANSPARENCY_IMP_LOC_MISSING,100,TRANSPARENCY_PROC_METHOD_MISSING,100,TRANSPARENCY_BID_NR_MISSING,100,TRANSPARENCY_AWARD_DATE_MISSING
004c0ba3-a14b-41cc-87ad-2ac6f0f0d0c2,1,1,true,MT,2010-02-02,,2009-03-10,OPEN,SUPPLIES,CONTRACT_NOTICE,2009-01-01,http://data.europa.eu/euodp/repository/ec/dg-grow/mapps/TED_CN_2009.csv,http://data.europa.eu/,CONTRACT_AWARD,2010-01-01,http://data.europa.eu/euodp/repository/ec/dg-grow/mapps/TED_CAN_2010.csv,1af608b7-f440-47ba-9535-63ebc40f87e7,,Luqa,VLT 2000,MT,"[""""]",Armed Forces of Malta,NATIONAL_AUTHORITY,"[""DEFENCE""]",MT,"[""MT001""]",b508e9b8-c6da-4b1e-af38-c40edd9b3874,,MT,"[""""]",James Caterers Ltd,14794543,11315000,EUR,false,false,,,,"15894000,",CPV2008,"15894000,",,4,17133036,13103500,EUR,100,INTEGRITY_CALL_FOR_TENDER_PUBLICATION,100,INTEGRITY_SINGLE_BID,,INTEGRITY_TAX_HAVEN,100,INTEGRITY_DECISION_PERIOD,100,INTEGRITY_PROCEDURE_TYPE,100,INTEGRITY_ADVERTISEMENT_PERIOD,,INTEGRITY_BENFORD,INTEGRITY_WINNER_SHARE,100,TRANSPARENCY_BUYER_NAME_MISSING,0,TRANSPARENCY_TITLE_MISSING,100,TRANSPARENCY_BIDDER_NAME_MISSING,100,TRANSPARENCY_SUPPLY_TYPE_MISSING,100,TRANSPARENCY_VALUE_MISSING,100,TRANSPARENCY_IMP_LOC_MISSING,0,TRANSPARENCY_PROC_METHOD_MISSING,100,TRANSPARENCY_BID_NR_MISSING,100,TRANSPARENCY_AWARD_DATE_MISSING
00557df1-7e8a-489b-90aa-8a0d97ebd4c6,1,1,true,MT,,,2015-07-16,OPEN,WORKS,CONTRACT_NOTICE,2015-06-10,http://ted.europa.eu/udl?uri=TED:NOTICE:199084-2015:TEXT:EN:HTML,http://ted.europa.eu,CONTRACT_AWARD,2015-11-10,http://ted.europa.eu/udl?uri=TED:NOTICE:395349-2015:TEXT:EN:HTML,3b6fae82-0ed6-4cbd-9e52-d88ad134d945,MT25645419,Floriana,FRN 1600,MT,"[""MT001""]",Department of Contracts,NATIONAL_AUTHORITY,"[""OTHER""]",,"[""""]",900e8887-3fc1-4182-afab-d02eba64444b,,MT,"[""MT001""]",AX Construction,165330.78,124277,EUR,false,false,,,,"45454100,45212314,45212350,",CPV2008,"45454100,45212314,45212350,",Muza — The Restoration of the Facade of Auberge D'Italie in Merchant Street Valletta.,9,,,EUR,100,INTEGRITY_CALL_FOR_TENDER_PUBLICATION,100,INTEGRITY_SINGLE_BID,,INTEGRITY_TAX_HAVEN,,INTEGRITY_DECISION_PERIOD,100,INTEGRITY_PROCEDURE_TYPE,0,INTEGRITY_ADVERTISEMENT_PERIOD,,INTEGRITY_BENFORD,INTEGRITY_WINNER_SHARE,100,TRANSPARENCY_BUYER_NAME_MISSING,100,TRANSPARENCY_TITLE_MISSING,100,TRANSPARENCY_BIDDER_NAME_MISSING,100,TRANSPARENCY_SUPPLY_TYPE_MISSING,100,TRANSPARENCY_VALUE_MISSING,0,TRANSPARENCY_IMP_LOC_MISSING,100,TRANSPARENCY_PROC_METHOD_MISSING,100,TRANSPARENCY_BID_NR_MISSING,100,TRANSPARENCY_AWARD_DATE_MISSING
00565edc-861e-46a0-a72a-3717f7a3cce0,1,1,true,MT,2014-05-13,,,OPEN,SUPPLIES,,,,http://ted.europa.eu,CONTRACT_AWARD,2014-05-23,http://ted.europa.eu/udl?uri=TED:NOTICE:172864-2014:TEXT:EN:HTML,3b6fae82-0ed6-4cbd-9e52-d88ad134d945,MT25645419,Floriana,FRN 1600,MT,"[""MT001""]",Department of Contracts,NATIONAL_AUTHORITY,"[""OTHER""]",,"[""""]",958876a8-7ac6-460c-9492-dae560ed19f1,C10268,MT,"[""""]",V.J. Salomone Pharma Limited,53981.887,39805,EUR,false,false,,,,"33622400,",CPV2008,"33622400,",Atorvastatin 10 mg tablets/capsules,3,,,EUR,0,INTEGRITY_CALL_FOR_TENDER_PUBLICATION,100,INTEGRITY_SINGLE_BID,,INTEGRITY_TAX_HAVEN,,INTEGRITY_DECISION_PERIOD,100,INTEGRITY_PROCEDURE_TYPE,,INTEGRITY_ADVERTISEMENT_PERIOD,,INTEGRITY_BENFORD,INTEGRITY_WINNER_SHARE,100,TRANSPARENCY_BUYER_NAME_MISSING,100,TRANSPARENCY_TITLE_MISSING,100,TRANSPARENCY_BIDDER_NAME_MISSING,100,TRANSPARENCY_SUPPLY_TYPE_MISSING,100,TRANSPARENCY_VALUE_MISSING,0,TRANSPARENCY_IMP_LOC_MISSING,100,TRANSPARENCY_PROC_METHOD_MISSING,100,TRANSPARENCY_BID_NR_MISSING,100,TRANSPARENCY_AWARD_DATE_MISSING
006d2d5a-905f-4456-86b6-68120f1de418,1,1,true,MT,2017-11-10,,,OPEN,SUPPLIES,,,,http://ted.europa.eu,CONTRACT_AWARD,2017-11-11,http://ted.europa.eu/udl?uri=TED:NOTICE:451148-2017:TEXT:EN:HTML,d693ab30-1b03-48c0-8418-9e92833d9fde,,Guardamangia,PTA 1010,MT,"[""MT001""]",Central Procurement and Supplies Unit MFH,NATIONAL_AUTHORITY,"[""HEALTH""]",,"[""""]",4ac83065-86f6-4d01-b185-92931beb039c,,MT,"[""MT000""]",Vella Falzon Building Supplies Ltd,3363.0869,2342,EUR,false,false,,,,"45000000,",CPV2008,"45000000,",Contract,2,,,EUR,0,INTEGRITY_CALL_FOR_TENDER_PUBLICATION,100,INTEGRITY_SINGLE_BID,,INTEGRITY_TAX_HAVEN,,INTEGRITY_DECISION_PERIOD,100,INTEGRITY_PROCEDURE_TYPE,,INTEGRITY_ADVERTISEMENT_PERIOD,,INTEGRITY_BENFORD,INTEGRITY_WINNER_SHARE,100,TRANSPARENCY_BUYER_NAME_MISSING,100,TRANSPARENCY_TITLE_MISSING,100,TRANSPARENCY_BIDDER_NAME_MISSING,100,TRANSPARENCY_SUPPLY_TYPE_MISSING,100,TRANSPARENCY_VALUE_MISSING,0,TRANSPARENCY_IMP_LOC_MISSING,100,TRANSPARENCY_PROC_METHOD_MISSING,100,TRANSPARENCY_BID_NR_MISSING,100,TRANSPARENCY_AWARD_DATE_MISSING
00a1374f-e8d3-4ec5-9e6a-90361bc40372,1,1,true,MT,2010-04-16,,2009-08-25,OPEN,SUPPLIES,CONTRACT_NOTICE,2009-01-01,http://data.europa.eu/euodp/repository/ec/dg-grow/mapps/TED_CN_2009.csv,http://data.europa.eu/,CONTRACT_AWARD,2010-01-01,http://data.europa.eu/euodp/repository/ec/dg-grow/mapps/TED_CAN_2010.csv,0c649d10-8578-4dfe-a819-b828ed3805c9,,Floriana,VLT 2000,MT,"[""""]",Directorate for Quality and Standards in Education,NATIONAL_AUTHORITY,"[""EDUCATION""]",MT,"[""MT000""]",ac8017f5-9a3d-4a1b-a103-c703c00fdb2c,,MT,"[""""]",Rausi Co Ltd,394108.84,301418,EUR,false,false,,,,"39162000,",CPV2008,"39162000,",,10,593393.88,453833,EUR,100,INTEGRITY_CALL_FOR_TENDER_PUBLICATION,100,INTEGRITY_SINGLE_BID,,INTEGRITY_TAX_HAVEN,100,INTEGRITY_DECISION_PERIOD,100,INTEGRITY_PROCEDURE_TYPE,100,INTEGRITY_ADVERTISEMENT_PERIOD,,INTEGRITY_BENFORD,INTEGRITY_WINNER_SHARE,100,TRANSPARENCY_BUYER_NAME_MISSING,0,TRANSPARENCY_TITLE_MISSING,100,TRANSPARENCY_BIDDER_NAME_MISSING,100,TRANSPARENCY_SUPPLY_TYPE_MISSING,100,TRANSPARENCY_VALUE_MISSING,100,TRANSPARENCY_IMP_LOC_MISSING,0,TRANSPARENCY_PROC_METHOD_MISSING,100,TRANSPARENCY_BID_NR_MISSING,100,TRANSPARENCY_AWARD_DATE_MISSING
00a1374f-e8d3-4ec5-9e6a-90361bc40372,1,2,true,MT,2010-04-16,,2009-08-25,OPEN,SUPPLIES,CONTRACT_NOTICE,2009-01-01,http://data.europa.eu/euodp/repository/ec/dg-grow/mapps/TED_CN_2009.csv,http://data.europa.eu/,CONTRACT_AWARD,2010-01-01,http://data.europa.eu/euodp/repository/ec/dg-grow/mapps/TED_CAN_2010.csv,0c649d10-8578-4dfe-a819-b828ed3805c9,,Floriana,VLT 2000,MT,"[""""]",Directorate for Quality and Standards in Education,NATIONAL_AUTHORITY,"[""EDUCATION""]",MT,"[""MT000""]",0abf96ef-0ef6-4a69-b540-411bb45e166c,,MT,"[""""]",FGL Information Technology Ltd,343629.59,262811,EUR,false,false,,,,"39162000,",CPV2008,"39162000,",,10,593393.88,453833,EUR,100,INTEGRITY_CALL_FOR_TENDER_PUBLICATION,100,INTEGRITY_SINGLE_BID,,INTEGRITY_TAX_HAVEN,100,INTEGRITY_DECISION_PERIOD,100,INTEGRITY_PROCEDURE_TYPE,100,INTEGRITY_ADVERTISEMENT_PERIOD,,INTEGRITY_BENFORD,INTEGRITY_WINNER_SHARE,100,TRANSPARENCY_BUYER_NAME_MISSING,0,TRANSPARENCY_TITLE_MISSING,100,TRANSPARENCY_BIDDER_NAME_MISSING,100,TRANSPARENCY_SUPPLY_TYPE_MISSING,100,TRANSPARENCY_VALUE_MISSING,100,TRANSPARENCY_IMP_LOC_MISSING,0,TRANSPARENCY_PROC_METHOD_MISSING,100,TRANSPARENCY_BID_NR_MISSING,100,TRANSPARENCY_AWARD_DATE_MISSING
00a1374f-e8d3-4ec5-9e6a-90361bc40372,1,3,true,MT,2010-04-16,,2009-08-25,OPEN,SUPPLIES,CONTRACT_NOTICE,2009-01-01,http://data.europa.eu/euodp/repository/ec/dg-grow/mapps/TED_CN_2009.csv,http://data.europa.eu/,CONTRACT_AWARD,2010-01-01,http://data.europa.eu/euodp/repository/ec/dg-grow/mapps/TED_CAN_2010.csv,0c649d10-8578-4dfe-a819-b828ed3805c9,,Floriana,VLT 2000,MT,"[""""]",Directorate for Quality and Standards in Education,NATIONAL_AUTHORITY,"[""EDUCATION""]",MT,"[""MT000""]",1f767636-3730-48b0-aaea-3de3eecaa8e9,,MT,"[""""]",Orme Scientific Ltd,185124.66,141585,EUR,false,false,,,,"39162000,",CPV2008,"39162000,",,10,593393.88,453833,EUR,100,INTEGRITY_CALL_FOR_TENDER_PUBLICATION,100,INTEGRITY_SINGLE_BID,,INTEGRITY_TAX_HAVEN,100,INTEGRITY_DECISION_PERIOD,100,INTEGRITY_PROCEDURE_TYPE,100,INTEGRITY_ADVERTISEMENT_PERIOD,,INTEGRITY_BENFORD,INTEGRITY_WINNER_SHARE,100,TRANSPARENCY_BUYER_NAME_MISSING,0,TRANSPARENCY_TITLE_MISSING,100,TRANSPARENCY_BIDDER_NAME_MISSING,100,TRANSPARENCY_SUPPLY_TYPE_MISSING,100,TRANSPARENCY_VALUE_MISSING,100,TRANSPARENCY_IMP_LOC_MISSING,0,TRANSPARENCY_PROC_METHOD_MISSING,100,TRANSPARENCY_BID_NR_MISSING,100,TRANSPARENCY_AWARD_DATE_MISSING
